"FeatureID","key","名称","説明","単位","型","計算式","利用AI","group","availablePreRace","sourceFields","missingPolicy","leakageRisk","schemaVersion"
"F020","waku_no","枠 番号","枠 番号を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: waku_no","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F021","horse_no_ratio","馬 番号 比率","馬 番号 比率を表す再計算可能な特徴量。","ratio","number|null","numerator / denominator for horse_no_ratio","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F022","waku_ratio","枠 比率","枠 比率を表す再計算可能な特徴量。","ratio","number|null","numerator / denominator for waku_ratio","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F023","inside_gate_flag","内 枠順 フラグ","内 枠順 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F024","middle_gate_flag","中距離 枠順 フラグ","中距離 枠順 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F025","outside_gate_flag","外 枠順 フラグ","外 枠順 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F026","sex_male","性別 牡","性別 牡を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: sex_male","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F027","sex_female","性別 牝","性別 牝を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: sex_female","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F028","sex_gelding","性別 せん","性別 せんを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: sex_gelding","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F029","age","年齢","年齢を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: age","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F030","age_3_flag","年齢 3 フラグ","年齢 3 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F031","age_4_flag","年齢 4 フラグ","年齢 4 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F032","age_5plus_flag","年齢 5plus フラグ","年齢 5plus フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F033","carried_weight","負担 重量","負担 重量を表す再計算可能な特徴量。","kg","number|null","deterministic extraction or derivation: carried_weight","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F034","body_weight","馬体 重量","馬体 重量を表す再計算可能な特徴量。","kg","number|null","deterministic extraction or derivation: body_weight","能力AI|展開AI","basic","true","entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F035","body_weight_delta","馬体 重量 増減","馬体 重量 増減を表す再計算可能な特徴量。","kg","number|null","deterministic extraction or derivation: body_weight_delta","能力AI|展開AI","basic","true","entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F036","body_weight_change_rate","馬体 重量 変化 率","馬体 重量 変化 率を表す再計算可能な特徴量。","ratio","number|null","numerator / denominator for body_weight_change_rate","能力AI|展開AI","basic","true","entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F037","weight_per_age","重量 per 年齢","重量 per 年齢を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: weight_per_age","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F038","pre_odds","pre 単勝オッズ","pre 単勝オッズを表す再計算可能な特徴量。","multiple","number|null","deterministic extraction or derivation: pre_odds","能力AI|展開AI","basic","true","entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F039","pre_popularity","pre 人気","pre 人気を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: pre_popularity","能力AI|展開AI","basic","true","entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F040","odds_inverse","単勝オッズ 逆数","単勝オッズ 逆数を表す再計算可能な特徴量。","multiple","number|null","deterministic extraction or derivation: odds_inverse","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F041","popularity_inverse","人気 逆数","人気 逆数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: popularity_inverse","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F042","jockey_changed","騎手 変更","騎手 変更を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: jockey_changed","能力AI|回収率AI","connections","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F043","blinker","ブリンカー","ブリンカーを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: blinker","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F044","foreign_flag","外国産 フラグ","外国産 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI|展開AI","basic","true","targetText|entryCsv","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F045","zi","ZI","ZIを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: zi","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F046","past_idx_count","過去 指数 件数","過去 指数 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_count","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F047","past_idx_missing_rate","過去 指数 欠損 率","過去 指数 欠損 率を表す再計算可能な特徴量。","ratio","number|null","numerator / denominator for past_idx_missing_rate","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F048","past_idx_latest","過去 指数 最新","過去 指数 最新を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_latest","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F049","past_idx_2","過去 指数 2","過去 指数 2を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_2","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F050","past_idx_3","過去 指数 3","過去 指数 3を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_3","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F051","past_idx_4","過去 指数 4","過去 指数 4を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_4","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F052","past_idx_5","過去 指数 5","過去 指数 5を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_5","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F053","past_idx_6","過去 指数 6","過去 指数 6を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_6","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F054","past_idx_7","過去 指数 7","過去 指数 7を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_7","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F055","past_idx_8","過去 指数 8","過去 指数 8を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_8","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F056","past_idx_mean","過去 指数 平均","過去 指数 平均を表す再計算可能な特徴量。","","number|null","mean(past_idx)","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F057","past_idx_median","過去 指数 中央値","過去 指数 中央値を表す再計算可能な特徴量。","","number|null","median(past_idx)","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F058","past_idx_max","過去 指数 最大","過去 指数 最大を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_max","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F059","past_idx_min","過去 指数 最小","過去 指数 最小を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_min","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F060","past_idx_range","過去 指数 範囲","過去 指数 範囲を表す再計算可能な特徴量。","","number|null","max - min of past_idx","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F061","past_idx_sd","過去 指数 標準偏差","過去 指数 標準偏差を表す再計算可能な特徴量。","","number|null","sample standard deviation(past_idx)","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F062","past_idx_variance","過去 指数 分散","過去 指数 分散を表す再計算可能な特徴量。","unit²","number|null","sample variance(past_idx)","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F063","past_idx_q25","過去 指数 第1四分位","過去 指数 第1四分位を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_q25","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F064","past_idx_q75","過去 指数 第3四分位","過去 指数 第3四分位を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_q75","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F065","past_idx_iqr","過去 指数 四分位範囲","過去 指数 四分位範囲を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_iqr","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F066","past_idx_slope","過去 指数 傾向","過去 指数 傾向を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_slope","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F067","past_idx_recency_weighted","過去 指数 直近 加重","過去 指数 直近 加重を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_recency_weighted","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F068","past_idx_trend_2","過去 指数 変化 2","過去 指数 変化 2を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_trend_2","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F069","past_idx_trend_3","過去 指数 変化 3","過去 指数 変化 3を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_trend_3","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F070","past_idx_positive_trend_flag","過去 指数 上昇 変化 フラグ","過去 指数 上昇 変化 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F071","past_idx_turf_count","過去 指数 芝 件数","過去 指数 芝 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_turf_count","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F072","past_idx_turf_mean","過去 指数 芝 平均","過去 指数 芝 平均を表す再計算可能な特徴量。","","number|null","mean(past_idx_turf)","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F073","past_idx_turf_max","過去 指数 芝 最大","過去 指数 芝 最大を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_turf_max","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F074","past_idx_dirt_count","過去 指数 ダート 件数","過去 指数 ダート 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_dirt_count","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F075","past_idx_dirt_mean","過去 指数 ダート 平均","過去 指数 ダート 平均を表す再計算可能な特徴量。","","number|null","mean(past_idx_dirt)","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F076","past_idx_dirt_max","過去 指数 ダート 最大","過去 指数 ダート 最大を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_dirt_max","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F077","past_idx_surface_match_count","過去 指数 馬場 一致 件数","過去 指数 馬場 一致 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_surface_match_count","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F078","past_idx_surface_match_mean","過去 指数 馬場 一致 平均","過去 指数 馬場 一致 平均を表す再計算可能な特徴量。","","number|null","mean(past_idx_surface_match)","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F079","past_idx_surface_match_max","過去 指数 馬場 一致 最大","過去 指数 馬場 一致 最大を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_surface_match_max","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F080","past_idx_surface_advantage","過去 指数 馬場 優位差","過去 指数 馬場 優位差を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: past_idx_surface_advantage","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F081","index_consistency","指数 安定度","指数 安定度を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: index_consistency","能力AI","ability","true","targetText","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F082","workout_session_count","調教 セッション 件数","調教 セッション 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_session_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F083","workout_current_count","調教 当週 件数","調教 当週 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_current_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F084","workout_prev_count","調教 前走前 件数","調教 前走前 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_prev_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F085","workout_final_flag","調教 最終追切 フラグ","調教 最終追切 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F086","workout_overseas_flag","調教 海外 フラグ","調教 海外 フラグを表す再計算可能な特徴量。","","number|null","1 when condition is true, otherwise 0","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F087","workout_trend_up","調教 変化 up","調教 変化 upを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_trend_up","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F088","workout_trend_down","調教 変化 down","調教 変化 downを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_trend_down","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F089","workout_comment_present","調教 短評 present","調教 短評 presentを表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_comment_present","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F090","workout_comment_length","調教 短評 文字数","調教 短評 文字数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_comment_length","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F091","workout_note_count","調教 注記 件数","調教 注記 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_note_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F092","workout_course_recognized_rate","調教 コース 認識 率","調教 コース 認識 率を表す再計算可能な特徴量。","ratio","number|null","numerator / denominator for workout_course_recognized_rate","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F093","workout_time_plausible_rate","調教 タイム 妥当 率","調教 タイム 妥当 率を表す再計算可能な特徴量。","ratio","number|null","numerator / denominator for workout_time_plausible_rate","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F094","workout_slope_count","調教 傾向 件数","調教 傾向 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_slope_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F095","workout_cw_count","調教 CW 件数","調教 CW 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_cw_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F096","workout_w_count","調教 w 件数","調教 w 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_w_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F097","workout_turf_count","調教 芝 件数","調教 芝 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_turf_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F098","workout_dirt_count","調教 ダート 件数","調教 ダート 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_dirt_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F099","workout_easy_count","調教 馬なり 件数","調教 馬なり 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_easy_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F100","workout_strong_count","調教 強め 件数","調教 強め 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_strong_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F101","workout_good_baba_count","調教 良 baba 件数","調教 良 baba 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_good_baba_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F102","workout_heavy_baba_count","調教 重不良 baba 件数","調教 重不良 baba 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_heavy_baba_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F103","workout_time_token_count","調教 タイム 数値 件数","調教 タイム 数値 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_time_token_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F104","workout_current_time_token_count","調教 当週 タイム 数値 件数","調教 当週 タイム 数値 件数を表す再計算可能な特徴量。","","number|null","deterministic extraction or derivation: workout_current_time_token_count","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F105","workout_days_span","調教 日数 期間","調教 日数 期間を表す再計算可能な特徴量。","day","number|null","deterministic extraction or derivation: workout_days_span","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F106","accel_current_max","急加速力 当週 最大","急加速力 当週 最大を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_current_max","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F107","accel_current_mean","急加速力 当週 平均","急加速力 当週 平均を表す再計算可能な特徴量。","sec-index","number|null","mean(accel_current)","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F108","accel_current_median","急加速力 当週 中央値","急加速力 当週 中央値を表す再計算可能な特徴量。","sec-index","number|null","median(accel_current)","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F109","accel_current_min","急加速力 当週 最小","急加速力 当週 最小を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_current_min","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F110","accel_current_range","急加速力 当週 範囲","急加速力 当週 範囲を表す再計算可能な特徴量。","sec-index","number|null","max - min of accel_current","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F111","accel_current_sd","急加速力 当週 標準偏差","急加速力 当週 標準偏差を表す再計算可能な特徴量。","sec-index","number|null","sample standard deviation(accel_current)","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F112","accel_current_variance","急加速力 当週 分散","急加速力 当週 分散を表す再計算可能な特徴量。","sec-index","number|null","sample variance(accel_current)","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F113","accel_current_q25","急加速力 当週 第1四分位","急加速力 当週 第1四分位を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_current_q25","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F114","accel_current_q75","急加速力 当週 第3四分位","急加速力 当週 第3四分位を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_current_q75","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F115","accel_current_slope","急加速力 当週 傾向","急加速力 当週 傾向を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_current_slope","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F116","accel_all_max","急加速力 全期間 最大","急加速力 全期間 最大を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_all_max","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F117","accel_all_mean","急加速力 全期間 平均","急加速力 全期間 平均を表す再計算可能な特徴量。","sec-index","number|null","mean(accel_all)","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F118","accel_latest","急加速力 最新","急加速力 最新を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_latest","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F119","accel_final","急加速力 最終追切","急加速力 最終追切を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_final","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F120","accel_latest_vs_mean","急加速力 最新 vs 平均","急加速力 最新 vs 平均を表す再計算可能な特徴量。","sec-index","number|null","mean(accel_latest_vs)","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
"F121","accel_final_vs_latest","急加速力 最終追切 vs 最新","急加速力 最終追切 vs 最新を表す再計算可能な特徴量。","sec-index","number|null","deterministic extraction or derivation: accel_final_vs_latest","調教AI","training","true","trainingPdf","取得不能時はnull","PRE_RACE_OK","3.3.2"
